"","Pul vəsaitlərinin hərəkəti haqqında hesabat","",""
"","","","min manatla"
"","","Cari hesabat","Əvvəlki hesabat"
"","","dövrü","dövrü"
"","","30.09.2021","30.09.2020"
"1,00","Əməliyyat fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti","",""
"1,10","Alınmış faizlər","338 154","306 193"
"1,20","Ödənilmiş faizlər","-57 416","-52 407"
"1,30","Alınmış haqq və kommisiyalar","203 443","125 235"
"1,40","Ödənilmiş haqq və kommisiyalar","-53 087","-28 848"
"1,50","Xarici valyuta əməliyyatlarından xalis gəlir","21 017","15 388"
"1,60","Xarici valyutada törəmə maliyyə alətlərindən realizasiya olunmuş xalis gəlir","0","0"
"1,70","Ödənilmiş əmək haqqı və digər kompensasiyalar","-110 751","-92 584"
"1,80","Ödənilmiş ümumi və inzibati xərclər","-75 594","-65 029"
"1,90","Ümidsiz borclardan daxilolmalar","0","0"
"1,10","Alınmış digər əməliyyat gəlirləri","1 758","1 877"
"1,11","Ödənilmiş digər əməliyyat xərcləri","0","0"
"","Əməliyyat aktivlərində və öhdəliklərində dəyişikliklərdən əvvəl bank fəaliyyəti üzrə","",""
"2,00","","267 524","209 825"
"","pul vəsaitlərinin hərəkəti","",""
"2,10","Əməliyyat aktivlərindən xalis artım/azalma","-587 669","-441 722"
"2.1.1","Banklara verilmiş kreditlərdə  və depozitlərdə xalis artım (azalma)","-243 247","-31 323"
"2.1.2","Müştərilərə verilmiş kreditlərdə xalis artım (azalma)","-298 794","-391 657"
"2.1.3","Digər aktivlərdə xalis artım (azalma)","-45 628","-18 742"
"2,20","Əməliyyat öhdəliklərindən xalis artım/azalma","716 369","703 974"
"2.2.1","Banklardan və digər maliyyə təşkilatlarından cəlb olunan depozitlər üzrə xalis artım (azalma)","63 382","212 889"
"2.2.2","Mərkəzi Bank üzrə öhdəliklırdə xalis artım (azalma)","0","0"
"2.2.3","Müştərilərin depozitləri və cari hesablarında xalis artım (azalma)","756 965","486 004"
"2.2.4","Digər öhdəliklərdəxalis artım (azalma)","-103 978","5 081"
"3,00","Mənfəət vergisindən əvvəl bank fəaliyyəti üzrə pul vəsaitlərinin hərəkəti","396 224","472 077"
"3,10","Ödənilmiş mənfəət vergisi","-66 000","-3 000"
"4,00","Əməliyyat fəaliyyəti ilə əlaqədar generasiya/istifadə edilən xalis pul vəsaitləri","330 224","469 077"
"5,00","İnvestisiya fəaliyyəti ilə əlaqədar pul vəsaitlərinin hərəkəti","",""
"5,10","Əmlak və avadanlıqların alınması və avans ödənişləri","-12 811","-15 744"
"5,20","Əmlak və avadanlıqların satılmasından daxilolmalar","1 064","1"
"5,30","Qeyri-maddi aktivlərin alınması","-5 115","-4 428"
"5,40","Qeyri-maddi aktivlərin satılmasından daxilolmalar","0","0"
"5,50","Alınmış dividendlər","0","0"
"5,60","Satış üçün nəzərdə tutulan investisiya qiymətli kağızlarının satılması və geri alınması","-229 596","-180 100"
"5,70","Digər","-2 750","-3 780"
"","İnvestisiya fəaliyyəti ilə əlaqədar generasiya/istifadə olunan pul vəsaitlərinin","",""
