Faiz riski,,min manatla
1,Faiz dərəcəsinə görə cəmi aktivlər,"6,908,673"
1.1,0-3 ay,"1,724,282"
1.2,3-6 ay,"728,229"
1.3,6-12 ay,"1,179,443"
1.4,12-24 ay,"1,757,444"
1.5,24-36 ay,"729,613"
1.6,36 aydan yuxarı,"789,662"
2,Faiz dərəcəsinə həssas cəmi öhdəliklər,"5,919,134"
2.1,0-3 ay,"2,273,659"
2.2,3-6 ay,"738,760"
2.3,6-12 ay,"1,899,493"
2.4,12-24 ay,"291,065"
2.5,24-36 ay,"212,139"
2.6,36 aydan yuxarı,"504,017"
3,“Qəp”,"989,539"
3.1,0-3 ay,"(549,377)"
3.2,3-6 ay,"(10,531)"
3.3,6-12 ay,"(720,050)"
3.4,12-24 ay,"1,466,379"
3.5,24-36 ay,"517,473"
3.6,36 aydan yuxarı,"285,645"
