,,,,göndərilmiş,,Müddət ərzində,,,
Kapital Dəyişmələri,,İlin əvvəlinə qalıq,,,,,,Müddətin sonuna qalıq,
,,,,dəqiqləşdirilmiş,,dəyişikliklər,,,
,,,,kumulyativ düzəlişlər,,,,,
1,2,3,,4,,5,,6,
1. Adi Səhmlər,1,,"205,850",,-,,-,,"205,850"
2. Müddətsiz İmtiyazlı Səhmlər,2,,"60,000",,-,,-,,"60,000"
3. Geriyə alınmış adi səhmlər,3,,-,,-,,-,,-
4. Geriyə alınmış müddətsiz imtiyazlı səhmlər,4,,-,,-,,-,,-
5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq,5,,800,,-,,-,,800
6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri arasındakı fərq,6,,-,,-,,-,,-
7. Dividendlər,7,X,,X,,,-,,-
a) ödənilmiş adi səhmlər üzrə elan olunmuş dividendlər,,,,,,,,,
