olmaqla),,,,,,,,,,,,,,
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,"7,643.47","6,745.41
28,567.98","65,944.16
93,726.60
124,248.61
121,236.01","132,888.51","113,934.39","58,249.58","33,299.92","69,403.64","66,540.49","76,978.91","87,745.08
181,883.77","43,726.92","1,312,763.45
0.00
0.00
1,312,763.45",
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər,"54,000.00","3,000.00
118,000.00","60,000.00
147,100.00
125,233.50
290,282.16","50,000.00","57,866.75","22,400.00","61,242.08","15,000.00","124,350.00","2,350.00","9,869.63
105.00",0.00,"1,143,799.62
3,000.50
0.00
1,143,799.62",
2. AMB-nın kreditləri,,,,,,,,,,,,,"491 
                        491 
                        491",-
"3. “Loro"" hesabları (bankların müxbir hesabları)","11,043","-   
                           -","-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -                      11,043 
                           -","-                      11,043"
4. REPO əməliyyatları üzrə,-                               -,"810,877","82,660 
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -   
                 893,537 
                 893,537","-   
                           -"
5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri (7-ci,,,,,,,,,,,,,,
,,-,"-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -   
                           -   
                           -","-
                        
-"
gün də daxil olmaqla 7 günədək  olanlar),,,,,,,,,,,,,,
6. Bankların və digər maliyyə institutların depozitləri,215,"-                      50,000","13,115 
                           -   
                           -   
                           -",,-                            134,-,,"-                        1,297",-,"-                        1,333",146,"-                      53,299","1,330 
                 120,869 
                 120,869","-   
                           -"
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),-,"-                      40,354","-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-   
                           -                      40,354 
                   40,354","-   
                           -"
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə institutlarından",,,,,,,,,,,,,,
,-,"-   
                           -","-                              29 
                        351 
                          47",839,302,2,298,305,634,136,"621 
                   14,264","9,345","12,235 
                459,302 
                 498,709 
                 498,709","-
                        
-"
alınmış kreditlər,,,,,,,,,,,,,,
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,,,,,,,,,,,,,"-   
                           -","-
                        
-"
10. Bələdiyyələrin kreditləri və depozitləri,,,,,,,,,,,,,"-   
                           -","-   
                           -"
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,,,,,,,,,,,,,"-   
                           -","-   
                           -"
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank tərəfindən",,,,,,,,,,,,,,
buraxılmış subordinasiyalı borc və sair bu qəbildən olan borc,-,"-   
                           -","-   
                           -                      50,000 
                   50,000",-,-,-,-,-,-,-,-,"-                      17,000","-                    289,000 
                 406,000 
                 406,000","-   
                           -"
öhdəlikləri,,,,,,,,,,,,,,
13. Digər passivlər,"465,854",,,,,,,,,,,,"465,854 
                           -","-                    465,854"
14. Kapital,-,"-   
                           -","-   
                           -   
                           -   
                           -",-,-,-,-,-,-,-,"-   
                           -",-,"-                 1,007,365 
              1,007,365 
                           -","-                 1,007,365"
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"7,086,074","9,745 
              1,047,799","221,719 
                 240,856 
                 299,833 
                 461,565","183,727","172,237","80,652","94,840","86,005","191,525","79,465","99,569 
                 196,399","70,072","68,534 
             1,757,488 
           12,448,104 
              6,694,580","-                 4,746,158"
16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis məbləği,"(5,290,686)","311,229 
               (499,903)","344,281 
                 (55,214)
                 (47,492)
               (151,552)","6,026","18,759","83,897","84,572","42,545","181,370","56,334","93,310 
              2,590,860","875,764","518,508 
                837,394 
                           -                 1,848,843","-                  (511,325)"
