"hesabları), cəmi",-,"-                             123,256",
a) Rezident banklar,-,"-                                  7,872",
b) Qeyri-rezident banklar,-,"-                             115,384",
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci,532,-,-
"gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi",,,
a) Rezident banklar,532,-,-
b) Qeyri-rezident banklar,-,-,-
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı","40,421",-,-
"depozitlər, cəmi",,,
5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna,"40,421",-,-
"edilməklə), cəmi",,,
a) Rezident banklar,"10,200",-,-
b) Qeyri-rezident banklar,"30,221",-,-
"5.2 Digər maliyyə institutlarında depozitlər, cəmi",-,-,-
a) Rezident maliyyə institutlarında,-,-,-
b) Qeyri-rezident maliyyə institutlarında,-,-,-
6. Əks REPO əməliyyatları üzrə,"159,875",-,-
"7. Qiymətli kağızlar, cəmi","2,950,978",-,-
a) ödəniş müddətinədək saxlanılan,"2,724,960",-,-
b) ticarət üçün alınmış qiymətli kağızlar,"226,018",-,-
8. Banklara kreditlər (5-ci sətir üzrə banklararası,"16,150",-,-
"qısamüddətli maliyyə alətləri istisna olmaqla), cəmi",,,
a) Rezident banklara,"8,500",-,-
b) Qeyri-rezident banklara,"7,650",-,-
"9. Digər maliyyə institutlarına kreditlər, cəmi","8,406",-,-
a) Rezident maliyyə institutlarına,"8,406",-,-
b) Qeyri-rezident maliyyə institutlarına,-,-,-
10. Müştərilərə verilən kreditlər,"5,211,208",-,-
11. Könəlmə çıxılmaqla bank işində istifadə olunan əsas,-,-,-
"vəsaitlər, cəmi",,,
12. Bank işində istifadə olunmayan daşınmaz əmlak,-,-,-
