Öhdəliklərin maddələri,Unnamed: 0,(Hesabat ili qeyd edilsin),Unnamed: 1,Unnamed: 2,Unnamed: 3
,sabit faizlə,,dəyişkən faizlə,,faizsiz
1. Depozitlər (banklar və digər maliyyə institutları istisna,,,,,
,,"4,852,170",,-,"4,126,164"
"olmaqla), cəmi",,,,,
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",,-,,-,"1,369,440"
a1) faizsiz tələbli depozitlər,,-,,-,"1,369,440"
a2) faizli tələbli depozitlər,,-,,-,-
b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank,,,,,
maliyyə institutlarının cari hesabları da daxil,,"2,382,407",,-,"2,756,724"
"olmaqla), cəmi",,,,,
b1) faizsiz tələbli depozitlər,,-,,-,"2,756,724"
b2) faizli tələbli depozitlər,,"2,382,407",,-,-
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri,",,,,,
,,"2,469,763",,-,-
cəmi,,,,,
c1) fiziki şəxslərin müddətli depozitləri,,"1,224,750",,,
c2) hüquqi şəxslərin müddətli depozitləri,,"1,245,013",,,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",,-,,-,-
a) auksion əsasında,,-,,-,-
b) overdraft,,-,,-,-
c) təminatlı kreditlər (lombard),,-,,-,-
d) digər,,-,,-,-
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",,-,,-,"10,927"
a) Rezident banklar,,-,,-,"1,158"
b) Qeyri-rezident banklar,,-,,-,"9,769"
4. REPO əməliyyatları  üzrə,,-,,-,-
5. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci,,,,,
,,-,,-,-
"gün də daxil olmaqla, 7 günədək olan kreditlər), cəmi",,,,,
a) Rezident banklar,,-,,-,-
b) Qeyri-rezident banklar,,-,,-,-
6. Bankların və digər maliyyə institutların (3-cü və 5-ci,,,,,
,,"97,994",,-,-
"sətirlər istisna edilməklə) depozitləri, cəmi",,,,,
"6.1  Bankların depozitləri, cəmi",,"39,431",,-,-
a) Rezident banklar,,"39,431",,-,-
b) Qeyri-rezident banklar,,-,,-,-
"6.2 Banklar istisna olmaqla, digər maliyyə institutlarının",,,,,
,,"58,563",,-,-
"depozitləri, cəmi",,,,,
a) Rezident maliyyə institutları,,"58,563",,-,-
b) Qeyri-rezident maliyyə institutları,,-,,-,-
"7. Bankların kreditləri (7 gündən artıq olan müddətə),",,,,,
,,-,,-,-
cəmi,,,,,
"7.1 Rezident banklar, cəmi",,-,,-,-
a) təminatlı,,-,,-,-
b) təminatsız,,-,,-,-
"7.2 Qeyri-rezident banklar, cəmi",,-,,-,-
a) təminatlı,,-,,-,-
b) təminatsız,,-,,-,-
"8. Banklar istisna olmaqla, digər maliyyə institutlarının",,,,,
,,"490,045",,-,-
"kreditləri, cəmi",,,,,
a) Rezident maliyyə institutlarından alınmış,,"490,045",,-,-
b) Qeyri-rezident maliyyə institutlarından,,-,,,
,,,,-,-
alınmış,,,,,
c) Beynəlxalq təşkilatlarından alınmış,,-,,-,-
9. Mərkəzi idarəetmə orqanlarının depozitləri və,,-,,,
,,,,-,-
kreditləri,,,,,
10. Bələdiyyələrin depozitləri və kreditləri,,-,,-,-
,,-,,,
11. Bankın öz ehtiyacları üçün aldığı ipoteka kreditləri,,,,-,-
12. Bank tərəfindən buraxılmış qiymətli kağızlar,,"363,500",,-,-
13. Digər passivlər,,-,,-,"503,526"
14. Kapital,,-,,-,"927,943"
14. Cəmi öhdəliklər,,"5,803,709",,-,"4,640,617"
