,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-,,tot-15-30,FXAZNEqui-15-,tot-31-60,FXAZNEqui-31-,tot-61-90,FXAZNEqui-61-,tot-91-120,FXAZNEqui-91-,tot-121-150,FXAZNEqui-121-,tot-151-180,FXAZNEqui-151-,tot-181-210,FXAZNEqui-181-,tot-211-240,FXAZNEqui-211-,tot-241-270,FXAZNEqui-241-,tot-271-300,FXAZNEqui-271-,tot-301-300,FXAZNEqui 301-,tot-331-365,FXAZNEqui-331-,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,14,,,30,,60,,90,,120,,150,,180,,210,,240,,270,,300,,330,,365,,,,,,,,,,
e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli,,,"0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətli,,,"0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-nın kreditləri,,"0,00",,"0,00",,,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00",,"0,00","1.079,94","0,00",,"0,00",,"0,00","1.079,94",XXX
"3. “Loro"" hesabları (bankların müxbir hesabları)","7.220,50","7.220,50","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","7.220,50","7.220,50"
a) Rezident bankların,"5.911,85","5.911,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.911,85","5.911,85"
b) Qeyri-rezident bankların,"1.308,65","1.308,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.308,65","1.308,65"
4. REPO əməliyyatları üzrə,"0,00",,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
5. Banklararası bazarın qazanılmış qısamüddətli maliyyə alətləri,,,,,"0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
(7-ci gün də daxil olmaqla 7 günədək  olanlar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Bankların və digər maliyyə institutların depozitləri,"0,00","0,00","0,00","0,00","0,00",,"0,00","26.267,00","26.267,00","8.500,00","8.500,00","21.230,99","21.230,99","20.000,50","20.000,50","0,00","0,00","18.700,00","18.700,00","502,56","502,56","0,00","0,00","24,65","24,65","0,00","0,00","37.000,00","34.000,00","0,00","0,00","101.323,89","100.591,26","4.024,10","290,92","0,00","0,00","8,47","8,47","237.582,16","230.116,35"
a) Rezident maliyyə institutları,"0,00","0,00","0,00","0,00","0,00",,"0,00","26.267,00","26.267,00","8.500,00","8.500,00","21.230,99","21.230,99","20.000,50","20.000,50","0,00","0,00","18.700,00","18.700,00","502,56","502,56","0,00","0,00","24,65","24,65","0,00","0,00","37.000,00","34.000,00","0,00","0,00","101.323,89","100.591,26","4.024,10","290,92","0,00","0,00","8,47","8,47","237.582,16","230.116,35"
b) Qeyri-rezident maliyyə institutları,,,"0,00","0,00","0,00",,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
7. Banklardan alınmış kreditlər (7 gündən artıq müddətli olanlar),"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
a) Rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
b) Qeyri-rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyə",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"316.754,47",,"316.754,47","0,00"
institutlarından alınmış kreditlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
10. Bələdiyyələrin kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
11. Öz ehtiyatları üçün bank tərəfindən alınmış ipoteka kreditləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00","0,00"
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildən,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59.500,00","59.500,00","0,00","0,00","59.500,00","59.500,00"
olan borc öhdəlikləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. Digər passivlər,"278.437,46","19.068,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.500,00","8.500,00",,,"286.937,46","27.568,91"
14. Kapital,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","906.526,06",,"906.526,06",XXX
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"5.339.071,26","776.312,35","3.603,96","442,05","6.571,02",,"772,62","96.870,20","28.455,64","48.167,32","31.830,94","239.692,22","194.178,39","83.057,17","24.662,72","26.556,45","4.796,65","50.928,09","21.167,29","19.725,29","4.623,38","44.441,78","6.462,93","28.844,82","4.091,73","15.157,52","3.226,36","90.450,88","42.087,10","29.043,01","6.333,87","219.562,82","135.545,73","55.133,15","8.065,77","108.070,69","68.023,38","1.223.289,00","8,47","7.728.236,65","1.361.087,37"
16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin) xalis,"-4.069.842,00","-451.970,63","486.991,53","8.078,11","20.546,63",,"-772,62","29.892,33","-28.358,34","130.251,40","-30.990,57","-76.496,64","-190.087,10","130.827,70","482,36","101.211,03","-3.831,84","61.672,95","-20.399,30","63.313,48","-4.236,19","316.599,51","-3.731,76","213.588,68","13.693,17","93.349,59","22.724,38","37.331,47","-28.928,57","258.334,48","185.232,91","1.342.071,43","95.412,78","714.077,94","198.203,83","322.445,22","11.848,44","-176.166,73","75.767,22","0,00","-151.863,72"
"məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəl A13-B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
