"Balansdankənar öhdəliklərin ayrı ayrı növləri barədə
  ",Unnamed: 1,Unnamed: 2
(min manatla),,
,sumLiabManat,sumLiabForeignCur
ÖHDƏLİKLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
"1. Kredit alətləri, cəmi",870443.74,51011.78
a) Kredit öhdəlikləri,0,0
b) İstifadə olunmamış kredit xətləri,870443.74,51011.78
"c) Qiymətli kağızlar və xarici valyuta istisna olmaqla, aktivlərin alınması üzrə öhdəliklər",0,0
d) Digər öhdəliklər,0,0
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi",467751.6400000001,131680.11
a) Qarantiyalar,467751.6400000001,131680.11
b) Bu qəbildən olan digər öhdəliklər,0,0
"3. Akkreditivlər, cəmi",8094.27,7220.18
"a) ""Standby"" akkreditivlər",0,0
b) Sənədli akkreditivlər,8094.27,7220.18
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi",37400,37400
a) Spot müqavilələri əsasında ,0,0
a1) alqı,0,0
a2) satqı,10200,10200
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,0,0
a) Forvard və fyuçers müqavilələri əsasında ,0,0
a1) alqı,0,0
a2) satqı,0,0
b) Svop müqavilələri əsasında,27200,27200
b1) alqı,0,0
b2) satqı,27200,27200
    c) Opsion müqavilələri əsasında,0,0
c1) alqı,0,0
c2) satqı,0,0
d) Digər törəmə maliyyə alətləri əsasında,0,0
d1) alqı,0,0
d2) satqı,0,0
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,0,0
a) alqı,0,0
b) satqı,0,0
7. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə təəhhüdlər,0,0
a) alqı,0,0
b) satqı,0,0
8. Digər balansdankənar öhdəliklər,0,0
,,
,,(min manatla)
,sumLiabManat,sumLiabForeignCur
MADDƏLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
1. Alınmış qarantiyalar və bu qəbildən olan maddələr,0,0
a) Qarantiyalar,0,0
b) Bu qəbildən olan digər maddələr,0,0
2. İxrac akkreditivləri,0,0
3. Silinmiş aktivlər,71284.71,16801.300000000003
a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği,37721.68,7717.030000000001
b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları,26315,9083.52
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği ,7248.03,0.75
d) Balansdan silinmiş digər ümidsiz aktivlərin faiz borcları,0,0
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,0,0
5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır),0,0
